,Longitude,Latitude,Crime type
,-2.367132,51.37581,Other theft
,-2.366562,51.376342,Other theft
,-2.365045,51.37712,Robbery
,-2.365045,51.37712,Sex Offence
,-2.347364,51.374063,ABSO
,-2.342743,51.363206,Sex Offence
,-2.35375,51.376813,ABSO
,-2.35375,51.376813,ABSO
,-2.35375,51.376813,ABSO
,-2.35375,51.376813,ABSO
,-2.351478,51.376577,ABSO
,-2.352484,51.378481,ABSO
,-2.35375,51.376813,ABSO
,-2.355232,51.380855,ABSO
,-2.35375,51.376813,ABSO
,-2.353818,51.376319,ABSO
,-2.35375,51.376813,ABSO
,-2.35375,51.376813,ABSO
,-2.35375,51.376813,ABSO
,-2.35375,51.376813,ABSO
,-2.353864,51.378584,ABSO
,-2.35375,51.376813,ABSO
,-2.351478,51.376577,ABSO
,-2.351478,51.376577,ABSO
,-2.351478,51.376577,ABSO
,-2.355232,51.380855,Drugs
,-2.355232,51.380855,Other theft
,-2.355232,51.380855,Weapons 
,-2.355232,51.380855,Public order
,-2.353818,51.376319,Shoplifting
,-2.355232,51.380855,Sex Offence
,-2.371516,51.375949,ABSO
,-2.369985,51.380405,ABSO
,-2.369749,51.375973,ABSO
,-2.376123,51.380628,ABSO
,-2.376123,51.380628,ABSO
,-2.373426,51.38123,Other theft
,-2.373426,51.38123,Other theft
,-2.373426,51.38123,Other theft
,-2.373426,51.38123,Other theft
,-2.369985,51.380405,Other theft
,-2.373426,51.38123,Public order
,-2.373426,51.38123,Shoplifting
,-2.371516,51.375949,Vehicle crime
,-2.374368,51.376929,Vehicle crime
,-2.373426,51.38123,Sex Offence
,-2.376123,51.380628,Other crime
,-2.374368,51.376929,Other crime
,-2.381602,51.37598,ABSO
,-2.384554,51.378559,ABSO
,-2.383601,51.377969,Vehicle crime
,-2.383601,51.377969,Vehicle crime
,-2.390847,51.380157,ABSO
,-2.388191,51.378709,Sex Offence
,-2.379872,51.378764,ABSO
,-2.381455,51.380818,ABSO
,-2.381145,51.383237,ABSO
,-2.381455,51.380818,ABSO
,-2.374146,51.381408,ABSO
,-2.379872,51.378764,ABSO
,-2.379392,51.37979,Bike theft
,-2.380551,51.380919,Arson
,-2.374146,51.381408,Other theft
,-2.374146,51.381408,Other theft
,-2.388037,51.380994,Shoplifting
,-2.377592,51.381127,Sex Offence
,-2.386988,51.368957,Other theft
,-2.38391,51.373643,Sex Offence
,-2.378723,51.377131,ABSO
,-2.3777,51.378501,Bike theft
,-2.376419,51.376473,Arson
,-2.378723,51.377131,Shoplifting
,-2.377659,51.377044,Shoplifting
,-2.377659,51.377044,Shoplifting
,-2.376638,51.378576,Vehicle crime
,-2.37315,51.372005,ABSO
,-2.373267,51.374019,ABSO
,-2.379877,51.372424,ABSO
,-2.379877,51.372424,Public order
